raw_text,normalized_text,issue_summary,primary_domain,issue_type,severity_level,public_safety_flag,vulnerable_population_flag,inferred_language,submission_channel,city,ward_id,has_image,image_description,confidence,is_edge_case,is_noisy,clip_prompt
Photo attached — this pothole has swallowed a bike tyre already.,Large potholes on the road in Navallur are causing accidents and vehicle damage.,"Multiple deep potholes have been reported on the road in Navallur, causing accidents and vehicle damage. Residents have been requesting repairs for over a month with no response.",Core Infrastructure & Public Works,road_damage,5,0,False,English,Mobile App,Chennai,197,True,Photograph of a large circular pothole approximately 2 feet wide on a paved road surface with crumbling asphalt edges.,0.85,False,False,"A photo showing road damage, a civic issue, or broken public infrastructure."
"I am a resident of Karapakkam and have been suffering from this problem for over two months now. The road in front of our colony is riddled with potholes, some deep enough to swallow a motorcycle tyre. We have witnessed at least five accidents in the past month alone. I have attached a photo clearly showing the depth of the potholes. Elderly residents and school children are especially vulnerable. I personally submitted a complaint via the mobile app twice and called the helpline once but no field visit happened. I am now escalating this formally and request senior officers to inspect the site.",Stagnant water near Karapakkam is causing a mosquito breeding problem with dengue cases being reported.,Stagnant water accumulation near Karapakkam has led to a severe mosquito breeding problem. Dengue cases are being reported.,"Sanitation, Environment & Parks",vector_pest_control,6,1,False,English,Mobile App,Chennai,183,True,Photo of a stagnant water pool in a road depression with visible mosquito larvae.,0.96,False,False,"A photo showing vector pest control, a civic issue, or broken public infrastructure."
Photo of long patient queue at Royapettah government hospital.,The government hospital in Royapettah is severely understaffed and running out of essential medicines.,The government hospital in Royapettah has been operating without adequate doctors and medicines. Patients are waiting for hours.,Social Infrastructure & Public Health,public_health_service,8,0,True,English,Web App,Chennai,111,True,Image of an empty medicine dispensary counter at a government hospital.,0.91,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
"खतरनाक इमारत गिरने वाली है, अधिकारी रिश्वत मांग रहा है।",A dangerous structure in Vadapalani poses collapse risk and the responsible official is demanding a bribe before taking action.,An edge case combining structural hazard and corruption in Vadapalani. The structural risk makes this an emergency but the bribery angle adds governance failure.,Urban Planning & Real Estate,unsafe_structure,9,1,False,Hindi,Voice Hotline,Chennai,100,False,,0.7,True,False,"A photo showing unsafe structure, a civic issue, or broken public infrastructure."
"The pipe near the signal is spraying water, road flooded.",A burst or leaking water pipe in Alwarpet is causing waterlogging and significant water wastage.,"A water pipe has burst in Alwarpet, causing road flooding and water wastage for several days. Despite complaints, no repair crew has visited.",Core Infrastructure & Public Works,water_supply_failure,6,0,False,English,Mobile App,Chennai,115,False,,0.91,False,False,"A photo showing water supply failure, a civic issue, or broken public infrastructure."
फीकी क्रॉसिंग की फोटो भेज रहा हूं।,The zebra crossing near Basin Bridge school is missing or completely faded endangering children.,The pedestrian crossing near Basin Bridge school is non-existent or invisible. School children are forced to cross a busy road without any marked safe zone.,Transportation & Traffic,pedestrian_safety,6,1,True,Hindi,Citizen Kiosk,Chennai,51,True,Image of a busy road junction with no pedestrian crossing markings visible.,0.87,False,False,"A photo showing pedestrian safety, a civic issue, or broken public infrastructure."
See image of the same unresolved issue after 10 complaints.,Multiple complaints raised by residents of Madhavaram have received no response from municipal authorities.,Residents of Madhavaram have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,"Emergency, Safety & Accountability",civic_corruption,5,0,False,English,Web App,Chennai,22,True,Image of a repeated complaint form submitted multiple times for the same issue.,0.98,False,False,"A photo showing civic corruption, a civic issue, or broken public infrastructure."
"போக்குவரத்து விளக்கு கெட்டுவிட்டது, விபத்துகள் நடக்கின்றன.",The traffic signal at Otteri junction is malfunctioning causing accidents and chaos.,The traffic signal at the main junction in Otteri has been non-functional for two days. Near-miss accidents are being reported during peak hours.,Transportation & Traffic,traffic_signal_fault,7,1,False,Tamil,Web App,Chennai,72,False,,0.94,False,False,"A photo showing traffic signal fault, a civic issue, or broken public infrastructure."
This complaint is on behalf of all residents of Ullagaram. For three weeks our drainage system has been completely choked. Every time there is rain the entire street floods with sewage. We have small children and elderly parents. The smell is unbearable. I am attaching a photo of the sewage overflow as evidence. We visited the ward office twice and were told the issue would be resolved within 48 hours. Three weeks later nothing has happened. We urge the Commissioner's office to directly intervene.,Footpath near Ullagaram has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Ullagaram, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",Urban Planning & Real Estate,encroachment,4,0,False,English,Mobile App,Chennai,162,True,Photo of restaurant chairs and tables placed on the public pavement.,0.94,False,False,"A photo showing encroachment, a civic issue, or broken public infrastructure."
விரிசல் விட்ட கட்டிடத்தின் படம் இணைத்துள்ளேன்.,A structurally unsafe and crumbling building near Nandambakkam is at immediate risk of collapse.,An abandoned building in Nandambakkam is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,Urban Planning & Real Estate,unsafe_structure,8,1,False,Tamil,Voice Hotline,Chennai,147,True,Photo of an old building with visible cracks running through the exterior walls.,0.87,False,False,"A photo showing unsafe structure, a civic issue, or broken public infrastructure."
"Dear Sir, I write with great urgency regarding a live electrical wire that fell on Nandambakkam street following last night's heavy rain. I have attached a photo of the wire lying on the road. It has been sparking since 6am. A local resident received a mild electric shock. Despite calling the emergency helpline twice, no crew has arrived. Children from the nearby school pass through this street every morning. I beg for immediate emergency response.",Garbage has not been collected from Nandambakkam for several days causing hygiene issues.,Municipal garbage collection has been absent in Nandambakkam for multiple days. Overflowing waste bins and stray animals are creating serious hygiene problems.,"Sanitation, Environment & Parks",waste_management,5,1,False,English,Mobile App,Chennai,147,True,Photo of an overflowing public garbage bin with waste spilling onto the footpath.,0.92,False,False,"A photo showing waste management, a civic issue, or broken public infrastructure."
This complaint is on behalf of all residents of Sholinganallur South. For three weeks our drainage system has been completely choked. Every time there is rain the entire street floods with sewage. We have small children and elderly parents. The smell is unbearable. I am attaching a photo of the sewage overflow as evidence. We visited the ward office twice and were told the issue would be resolved within 48 hours. Three weeks later nothing has happened. We urge the Commissioner's office to directly intervene.,The government school building in Sholinganallur South is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Sholinganallur South is in severe disrepair. The conditions are unhygienic and unsafe for children.,Social Infrastructure & Public Health,school_infrastructure,6,0,True,English,Mobile App,Chennai,169,True,Image of broken school benches and desks piled in a corner of a classroom.,0.9,False,False,"A photo showing school infrastructure, a civic issue, or broken public infrastructure."
வார்டு அலுவலகம் எந்த புகாருக்கும் பதில் அளிக்கவில்லை.,Multiple complaints raised by residents of Tiruvottiyur North have received no response from municipal authorities.,Residents of Tiruvottiyur North have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,"Emergency, Safety & Accountability",civic_corruption,5,0,False,Tamil,WhatsApp,Chennai,6,False,,0.91,False,False,"A photo showing civic corruption, a civic issue, or broken public infrastructure."
अवैध निर्माण की फोटो भेज रहा हूं।,An unauthorized building is being constructed in Karapakkam East without required municipal approvals.,Illegal construction has been flagged in Karapakkam East where a building is being built without any approved plan.,Urban Planning & Real Estate,illegal_construction,5,0,False,Hindi,Voice Hotline,Chennai,199,True,Photo of construction happening at night without safety lights or permissions.,0.85,False,False,"A photo showing illegal construction, a civic issue, or broken public infrastructure."
pothole very bad,A road or pothole issue has been reported.,Flash flooding in Arumbakkam has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,"Emergency, Safety & Accountability",flooding,9,1,False,English,Mobile App,Chennai,130,False,,0.81,False,True,"A photo showing flooding, a civic issue, or broken public infrastructure."
மழை நீர் கால்வாய் குப்பையால் முற்றிலும் அடைந்துவிட்டது.,The storm drain in Teynampet is blocked causing the road to flood during every rainfall.,A clogged storm drain in Teynampet is causing the road to flood during every rain event. The drain has not been cleared in months.,Core Infrastructure & Public Works,drainage_sewage,5,0,False,Tamil,Voice Hotline,Chennai,110,False,,0.88,False,False,"A photo showing drainage sewage, a civic issue, or broken public infrastructure."
"Transformer sparking near Chromepet, fire hazard for nearby buildings.",A live electrical wire is dangling on the road in Chromepet causing sparks and electrocution risk.,A fallen live electrical wire in Chromepet is sparking on the road near a bus stop. A resident has already received a mild electric shock.,"Emergency, Safety & Accountability",electrical_hazard,10,1,False,English,Web App,Chennai,159,False,,0.9,False,False,"A photo showing electrical hazard, a civic issue, or broken public infrastructure."
See attached image of dangerous leaning wall near Sowcarpet school.,A structurally unsafe and crumbling building near Sowcarpet is at immediate risk of collapse.,An abandoned building in Sowcarpet is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,Urban Planning & Real Estate,unsafe_structure,8,1,False,English,Web App,Chennai,57,True,Photo of a dilapidated building with broken windows and falling plaster.,0.88,False,False,"A photo showing unsafe structure, a civic issue, or broken public infrastructure."
अवैध निर्माण की फोटो भेज रहा हूं।,An unauthorized building is being constructed in Anna Nagar without required municipal approvals.,Illegal construction has been flagged in Anna Nagar where a building is being built without any approved plan.,Urban Planning & Real Estate,illegal_construction,5,0,False,Hindi,Mobile App,Chennai,94,True,Photo of a multi-storey building under construction with no approved plan notice visible.,0.96,False,False,"A photo showing illegal construction, a civic issue, or broken public infrastructure."
"No fogging done in our area for months, mosquito problem is bad.",Stagnant water near Old Washermenpet is causing a mosquito breeding problem with dengue cases being reported.,Stagnant water accumulation near Old Washermenpet has led to a severe mosquito breeding problem. Dengue cases are being reported.,"Sanitation, Environment & Parks",vector_pest_control,6,0,False,English,Citizen Kiosk,Chennai,37,False,,0.95,False,False,"A photo showing vector pest control, a civic issue, or broken public infrastructure."
"गंदे पानी की फोटो भेज रहा हूं, पाइपलाइन चेक करें।",Contaminated and discoloured water is being supplied through municipal pipes in Ernavoor causing illness.,Residents of Ernavoor are receiving discoloured and foul-smelling water through municipal pipes. Multiple cases of illness have been reported.,Core Infrastructure & Public Works,water_supply_failure,8,1,False,Hindi,WhatsApp,Chennai,5,True,Image of water flowing from a tap with a clearly yellow-brown discolouration.,0.92,False,False,"A photo showing water supply failure, a civic issue, or broken public infrastructure."
The garbage near the government school drain is blocking water flow and children are complaining of bad smell.,Garbage near the school in Semmencherry is blocking the drain and causing sewage overflow.,An edge case complaint in Semmencherry involving garbage accumulation near a school that is simultaneously blocking the storm drain and causing sewage overflow. Both sanitation and infrastructure issues are present.,"Sanitation, Environment & Parks",waste_management,6,0,True,English,Web App,Chennai,142,False,,0.8,True,False,"A photo showing waste management, a civic issue, or broken public infrastructure."
Shop owner in Otteri has extended stall onto the footpath completely.,Footpath near Otteri has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Otteri, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",Urban Planning & Real Estate,encroachment,4,0,False,English,Citizen Kiosk,Chennai,72,False,,0.95,False,False,"A photo showing encroachment, a civic issue, or broken public infrastructure."
"கழிவுநீர் சாலையில் வழிகிறது, நாற்றம் தாங்கவில்லை.",Sewage is overflowing from blocked drains onto the roads and into homes in Pallavaram.,A severe sewage overflow has been reported in Pallavaram due to blocked drains. Sewage water is entering ground floor homes and children are falling ill.,Core Infrastructure & Public Works,drainage_sewage,7,1,False,Tamil,Voice Hotline,Chennai,123,False,,0.85,False,False,"A photo showing drainage sewage, a civic issue, or broken public infrastructure."
"Big hole on the road near Maduravoyal junction, already caused two accidents.",Large potholes on the road in Maduravoyal are causing accidents and vehicle damage.,"Multiple deep potholes have been reported on the road in Maduravoyal, causing accidents and vehicle damage. Residents have been requesting repairs for over a month with no response.",Core Infrastructure & Public Works,road_damage,5,1,False,English,Web App,Chennai,144,False,,0.9,False,False,"A photo showing road damage, a civic issue, or broken public infrastructure."
Building collapse risk in Alapakkam compounded by officer demanding payment before doing inspection.,A dangerous structure in Alapakkam poses collapse risk and the responsible official is demanding a bribe before taking action.,An edge case combining structural hazard and corruption in Alapakkam. The structural risk makes this an emergency but the bribery angle adds governance failure.,Urban Planning & Real Estate,unsafe_structure,9,1,False,English,Voice Hotline,Chennai,145,False,,0.74,True,False,"A photo showing unsafe structure, a civic issue, or broken public infrastructure."
कचरे की फोटो भेज रहा हूं।,Garbage has not been collected from Pallikaranai for several days causing hygiene issues.,Municipal garbage collection has been absent in Pallikaranai for multiple days. Overflowing waste bins and stray animals are creating serious hygiene problems.,"Sanitation, Environment & Parks",waste_management,5,0,False,Hindi,WhatsApp,Chennai,139,True,Photo of an overflowing public garbage bin with waste spilling onto the footpath.,0.96,False,False,"A photo showing waste management, a civic issue, or broken public infrastructure."
சாலை மெல்ல மெல்ல கீழிறங்குகிறது.,A sewer pipe has collapsed beneath the road in Lattice Bridge causing a sinkhole and road subsidence.,Road subsidence in Lattice Bridge is being caused by a collapsed underground sewer pipe. The area needs immediate emergency repair.,Core Infrastructure & Public Works,drainage_sewage,9,1,False,Tamil,Web App,Chennai,176,False,,0.89,False,False,"A photo showing drainage sewage, a civic issue, or broken public infrastructure."
வண்டிக்கடை நடைபாதையை நிரந்தரமாக தடுக்கிறது.,Footpath near Tiruvottiyur East has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Tiruvottiyur East, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",Urban Planning & Real Estate,encroachment,4,0,False,Tamil,Voice Hotline,Chennai,11,False,,0.93,False,False,"A photo showing encroachment, a civic issue, or broken public infrastructure."
पानी नहीं आ रहा कुछ करो,A water supply or leakage issue has been reported.,Ongoing infrastructure work has blocked the main road in Arumbakkam for weeks without providing residents any diversion route.,Core Infrastructure & Public Works,road_damage,5,0,False,Hindi,WhatsApp,Chennai,97,False,,0.8,False,True,"A photo showing road damage, a civic issue, or broken public infrastructure."
நான்கு திசையிலும் வாகனங்கள் ஒரே நேரத்தில் வருகின்றன.,The traffic signal at Madhavaram South junction is malfunctioning causing accidents and chaos.,The traffic signal at the main junction in Madhavaram South has been non-functional for two days. Near-miss accidents are being reported during peak hours.,Transportation & Traffic,traffic_signal_fault,7,1,False,Tamil,Voice Hotline,Chennai,29,False,,0.92,False,False,"A photo showing traffic signal fault, a civic issue, or broken public infrastructure."
Construction debris being dumped illegally near Villivakkam park.,Waste is being illegally dumped openly near the park or water body in Villivakkam causing pollution.,Illegal open dumping near the park or lake in Villivakkam is increasing daily. The practice is creating environmental and health hazards.,"Sanitation, Environment & Parks",waste_management,5,0,False,English,WhatsApp,Chennai,47,False,,0.87,False,False,"A photo showing waste management, a civic issue, or broken public infrastructure."
தொழிற்சாலை வசிப்பிட காலனியில் இயங்குகிறது.,Land use violations are occurring near T Nagar with commercial or industrial use in residential zones.,"Unauthorized commercial activities are taking place in the residential zone near T Nagar, causing traffic, noise and pollution.",Urban Planning & Real Estate,encroachment,5,0,False,Tamil,WhatsApp,Chennai,132,False,,0.89,False,False,"A photo showing encroachment, a civic issue, or broken public infrastructure."
கோவிலில் இரவு முழுவதும் ஒலிவாங்கி சத்தம் தாங்கவில்லை.,Excessive noise from functions and construction near Anna Nagar is disturbing residents at night.,Residents of Anna Nagar are being subjected to nighttime noise from function halls and construction. Quality of life is being affected.,"Sanitation, Environment & Parks",environmental_pollution,3,0,False,Tamil,Mobile App,Chennai,94,False,,0.92,False,False,"A photo showing environmental pollution, a civic issue, or broken public infrastructure."
"Trucks blocking entire road, emergency vehicles cannot get through.",Illegal parking near Royapettah is blocking traffic and preventing emergency vehicle access.,Illegal and double parking near Royapettah is blocking a full lane of traffic. Emergency vehicles are unable to pass.,Transportation & Traffic,parking_violation,4,1,False,English,Web App,Chennai,111,False,,0.85,False,False,"A photo showing parking violation, a civic issue, or broken public infrastructure."
ஆய்வாளர் கட்டிட திட்டத்தை அனுமதிக்க பணம் கேட்கிறார்.,A municipal official in Mathur is demanding bribes for routine civic approvals and services.,Residents in Mathur have reported a municipal official demanding bribes for basic civic approvals. The official is refusing to process requests without cash payment.,"Emergency, Safety & Accountability",civic_corruption,7,0,False,Tamil,Voice Hotline,Chennai,19,False,,0.95,False,False,"A photo showing civic corruption, a civic issue, or broken public infrastructure."
बंद आंगनवाड़ी की फोटो भेज रहा हूं।,The anganwadi center in Kilpauk has been non-functional for weeks depriving children of meals.,The anganwadi center in Kilpauk has been closed for three weeks. Young children are being deprived of nutrition and early care services.,Social Infrastructure & Public Health,public_health_service,7,0,True,Hindi,Citizen Kiosk,Chennai,104,True,Image of an anganwadi building with a damaged roof and broken windows.,0.96,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
The kitchen of the restaurant near Sowcarpet has rats and cockroaches.,Unhygienic food is being served near Sowcarpet causing food poisoning with multiple residents hospitalised.,A food poisoning incident in Sowcarpet has led to multiple hospitalisations from a local eatery. Inspection is needed urgently.,Social Infrastructure & Public Health,public_health_service,8,1,False,English,Web App,Chennai,57,False,,0.91,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
Photo of closed anganwadi centre during operational hours.,The anganwadi center in Kathirvedu has been non-functional for weeks depriving children of meals.,The anganwadi center in Kathirvedu has been closed for three weeks. Young children are being deprived of nutrition and early care services.,Social Infrastructure & Public Health,public_health_service,7,0,True,English,Citizen Kiosk,Chennai,25,True,Image of an anganwadi building with a damaged roof and broken windows.,0.88,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
Loud music from a function hall near Chromepet every weekend night.,Excessive noise from functions and construction near Chromepet is disturbing residents at night.,Residents of Chromepet are being subjected to nighttime noise from function halls and construction. Quality of life is being affected.,"Sanitation, Environment & Parks",environmental_pollution,3,0,False,English,Mobile App,Chennai,124,False,,0.96,False,False,"A photo showing environmental pollution, a civic issue, or broken public infrastructure."
"बिजली का तार सड़क पर लटक रहा है, चिंगारी निकल रही है।",A live electrical wire is dangling on the road in Basin Bridge causing sparks and electrocution risk.,A fallen live electrical wire in Basin Bridge is sparking on the road near a bus stop. A resident has already received a mild electric shock.,"Emergency, Safety & Accountability",electrical_hazard,10,1,False,Hindi,Citizen Kiosk,Chennai,51,False,,0.89,False,False,"A photo showing electrical hazard, a civic issue, or broken public infrastructure."
"ஐந்து மணி நேரம் காத்திருந்தோம், ஒரே ஒரு மருத்துவர்.",The government hospital in Tiruvottiyur East is severely understaffed and running out of essential medicines.,The government hospital in Tiruvottiyur East has been operating without adequate doctors and medicines. Patients are waiting for hours.,Social Infrastructure & Public Health,public_health_service,8,0,True,Tamil,WhatsApp,Chennai,11,False,,0.86,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
New building under construction has no required safety measures.,An unauthorized building is being constructed in Peravallur South without required municipal approvals.,Illegal construction has been flagged in Peravallur South where a building is being built without any approved plan.,Urban Planning & Real Estate,illegal_construction,5,0,False,English,Mobile App,Chennai,77,False,,0.87,False,False,"A photo showing illegal construction, a civic issue, or broken public infrastructure."
The storm drain near Puzhuthivakkam is completely blocked with garbage.,The storm drain in Puzhuthivakkam is blocked causing the road to flood during every rainfall.,A clogged storm drain in Puzhuthivakkam is causing the road to flood during every rain event. The drain has not been cleared in months.,Core Infrastructure & Public Works,drainage_sewage,5,0,False,English,Web App,Chennai,163,False,,0.96,False,False,"A photo showing drainage sewage, a civic issue, or broken public infrastructure."
மருத்துவமனையில் தண்ணீரும் இல்லை மருத்துவரும் இல்லை.,"The government hospital in Madipakkam East has no water supply for three days, affecting patient care.",An edge case where a water supply failure is directly impacting healthcare delivery at the government hospital in Madipakkam East.,Social Infrastructure & Public Health,public_health_service,9,1,True,Tamil,Citizen Kiosk,Chennai,182,False,,0.8,True,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
"School entrance gate broken, stray animals entering campus.",The government school building in Manali is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Manali is in severe disrepair. The conditions are unhygienic and unsafe for children.,Social Infrastructure & Public Health,school_infrastructure,6,0,True,English,WhatsApp,Chennai,15,False,,0.88,False,False,"A photo showing school infrastructure, a civic issue, or broken public infrastructure."
"அரசு பள்ளி கூரை கசிகிறது, வகுப்புகள் பாதிக்கப்படுகின்றன.",The government school building in Mangadu is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Mangadu is in severe disrepair. The conditions are unhygienic and unsafe for children.,Social Infrastructure & Public Health,school_infrastructure,6,0,True,Tamil,Voice Hotline,Chennai,151,False,,0.89,False,False,"A photo showing school infrastructure, a civic issue, or broken public infrastructure."
"பேருந்து வழி நிறுத்தப்பட்டுவிட்டது, முன்னறிவிப்பு இல்லை.",MTC bus service to Kondithoppu has been suspended or severely reduced without prior notice.,Public bus service to Kondithoppu has been stopped with no advance notice. Commuters are stranded.,Transportation & Traffic,public_transport_failure,4,0,False,Tamil,WhatsApp,Chennai,52,False,,0.9,False,False,"A photo showing public transport failure, a civic issue, or broken public infrastructure."
drain overflow everyday,A drain or sewage overflow issue has been reported.,Residents of Velachery are receiving discoloured and foul-smelling water through municipal pipes. Multiple cases of illness have been reported.,Core Infrastructure & Public Works,water_supply_failure,8,1,False,English,Web App,Chennai,164,False,,0.74,False,True,"A photo showing water supply failure, a civic issue, or broken public infrastructure."
Ward councillor not responding to calls or messages from Mathur.,Multiple complaints raised by residents of Mathur have received no response from municipal authorities.,Residents of Mathur have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,"Emergency, Safety & Accountability",civic_corruption,5,0,False,English,Web App,Chennai,19,False,,0.98,False,False,"A photo showing civic corruption, a civic issue, or broken public infrastructure."
"Live wire touching tree branch, electrocution risk near Ennore.",A live electrical wire is dangling on the road in Ennore causing sparks and electrocution risk.,A fallen live electrical wire in Ennore is sparking on the road near a bus stop. A resident has already received a mild electric shock.,"Emergency, Safety & Accountability",electrical_hazard,10,1,False,English,Voice Hotline,Chennai,3,False,,0.92,False,False,"A photo showing electrical hazard, a civic issue, or broken public infrastructure."
No functioning street lights from Kottivakkam signal to the main road.,"Street lights are non-functional in Kottivakkam, leaving the area in complete darkness at night.",Street lighting has been out in Kottivakkam for over two weeks. Residents report safety concerns including theft and women being unable to walk at night.,Core Infrastructure & Public Works,street_lighting_failure,6,1,False,English,WhatsApp,Chennai,170,False,,0.93,False,False,"A photo showing street lighting failure, a civic issue, or broken public infrastructure."
கழிவுநீர் தெரு முழுவதும் நாற்றம்,A garbage accumulation or sanitation issue has been reported.,The traffic signal at the main junction in Pattaravakkam has been non-functional for two days. Near-miss accidents are being reported during peak hours.,Transportation & Traffic,traffic_signal_fault,7,1,False,Tamil,Voice Hotline,Chennai,83,False,,0.73,False,True,"A photo showing traffic signal fault, a civic issue, or broken public infrastructure."
"I am a resident of Semmencherry and have been suffering from this problem for over two months now. The road in front of our colony is riddled with potholes, some deep enough to swallow a motorcycle tyre. We have witnessed at least five accidents in the past month alone. I have attached a photo clearly showing the depth of the potholes. Elderly residents and school children are especially vulnerable. I personally submitted a complaint via the mobile app twice and called the helpline once but no field visit happened. I am now escalating this formally and request senior officers to inspect the site.",A structurally unsafe and crumbling building near Semmencherry is at immediate risk of collapse.,An abandoned building in Semmencherry is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,Urban Planning & Real Estate,unsafe_structure,8,1,False,English,Citizen Kiosk,Chennai,142,True,Image of concrete slabs visibly crumbling on an old multi-storey structure.,0.94,False,False,"A photo showing unsafe structure, a civic issue, or broken public infrastructure."
Attached photo clearly shows the pipe leak and waterlogged road.,A burst or leaking water pipe in Tiruvottiyur East is causing waterlogging and significant water wastage.,"A water pipe has burst in Tiruvottiyur East, causing road flooding and water wastage for several days. Despite complaints, no repair crew has visited.",Core Infrastructure & Public Works,water_supply_failure,6,0,False,English,Web App,Chennai,11,True,Photo showing a wet and waterlogged road with a visible crack in the pipeline below.,0.94,False,False,"A photo showing water supply failure, a civic issue, or broken public infrastructure."
Hospital staff rude and unresponsive to patients in Royapuram.,The government hospital in Royapuram is severely understaffed and running out of essential medicines.,The government hospital in Royapuram has been operating without adequate doctors and medicines. Patients are waiting for hours.,Social Infrastructure & Public Health,public_health_service,8,0,True,English,Voice Hotline,Chennai,49,False,,0.94,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
