raw_text,ward_id,submission_channel,city,has_image,image_description,normalized_text,issue_summary,inferred_language,primary_domain,sub_domain,issue_type,severity_level,public_safety_flag,vulnerable_population_flag,classification_reasoning,confidence,is_edge_case,is_noisy
Photo attached — this pothole has swallowed a bike tyre already.,197,Mobile App,Chennai,True,Photograph of a large circular pothole approximately 2 feet wide on a paved road surface with crumbling asphalt edges.,Large potholes on the road in Navallur are causing accidents and vehicle damage.,"Multiple deep potholes have been reported on the road in Navallur, causing accidents and vehicle damage. Residents have been requesting repairs for over a month with no response.",English,Core Infrastructure & Public Works,Roads,pothole,5,False,False,Pothole on public road causes recurring accidents and is a road maintenance failure.,0.85,False,False
"I am a resident of Karapakkam and have been suffering from this problem for over two months now. The road in front of our colony is riddled with potholes, some deep enough to swallow a motorcycle tyre. We have witnessed at least five accidents in the past month alone. I have attached a photo clearly showing the depth of the potholes. Elderly residents and school children are especially vulnerable. I personally submitted a complaint via the mobile app twice and called the helpline once but no field visit happened. I am now escalating this formally and request senior officers to inspect the site.",183,Mobile App,Chennai,True,Photo of a stagnant water pool in a road depression with visible mosquito larvae.,Stagnant water near Karapakkam is causing a mosquito breeding problem with dengue cases being reported.,Stagnant water accumulation near Karapakkam has led to a severe mosquito breeding problem. Dengue cases are being reported.,English,"Sanitation, Environment & Parks",Vector Control,mosquito_breeding,6,False,False,Mosquito breeding in stagnant water causing dengue is a vector control failure.,0.96,False,False
Photo of long patient queue at Royapettah government hospital.,111,Web App,Chennai,True,Image of an empty medicine dispensary counter at a government hospital.,The government hospital in Royapettah is severely understaffed and running out of essential medicines.,The government hospital in Royapettah has been operating without adequate doctors and medicines. Patients are waiting for hours.,English,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,8,False,True,Hospital running without doctors and medicines endangers patients.,0.91,False,False
"खतरनाक इमारत गिरने वाली है, अधिकारी रिश्वत मांग रहा है।",100,Voice Hotline,Chennai,False,,A dangerous structure in Vadapalani poses collapse risk and the responsible official is demanding a bribe before taking action.,An edge case combining structural hazard and corruption in Vadapalani. The structural risk makes this an emergency but the bribery angle adds governance failure.,Hindi,"Emergency, Safety & Accountability",Safety,unsafe_structure,9,True,False,Primary classification is structural hazard despite bribery being a concurrent issue.,0.7,True,False
"The pipe near the signal is spraying water, road flooded.",115,Mobile App,Chennai,False,,A burst or leaking water pipe in Alwarpet is causing waterlogging and significant water wastage.,"A water pipe has burst in Alwarpet, causing road flooding and water wastage for several days. Despite complaints, no repair crew has visited.",English,Core Infrastructure & Public Works,Water Supply,pipe_leak,6,False,False,"Burst pipe causes water wastage, road damage and waterlogging.",0.91,False,False
फीकी क्रॉसिंग की फोटो भेज रहा हूं।,51,Citizen Kiosk,Chennai,True,Image of a busy road junction with no pedestrian crossing markings visible.,The zebra crossing near Basin Bridge school is missing or completely faded endangering children.,The pedestrian crossing near Basin Bridge school is non-existent or invisible. School children are forced to cross a busy road without any marked safe zone.,Hindi,Transportation & Traffic,Pedestrian Safety,missing_zebra_crossing,6,True,True,Missing pedestrian crossing near a school creates direct daily danger to children.,0.87,False,False
See image of the same unresolved issue after 10 complaints.,22,Web App,Chennai,True,Image of a repeated complaint form submitted multiple times for the same issue.,Multiple complaints raised by residents of Madhavaram have received no response from municipal authorities.,Residents of Madhavaram have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,English,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.98,False,False
"போக்குவரத்து விளக்கு கெட்டுவிட்டது, விபத்துகள் நடக்கின்றன.",72,Web App,Chennai,False,,The traffic signal at Otteri junction is malfunctioning causing accidents and chaos.,The traffic signal at the main junction in Otteri has been non-functional for two days. Near-miss accidents are being reported during peak hours.,Tamil,Transportation & Traffic,Traffic Signals,signal_malfunction,7,True,False,Malfunctioning traffic signal at a busy intersection directly causes accidents.,0.94,False,False
This complaint is on behalf of all residents of Ullagaram. For three weeks our drainage system has been completely choked. Every time there is rain the entire street floods with sewage. We have small children and elderly parents. The smell is unbearable. I am attaching a photo of the sewage overflow as evidence. We visited the ward office twice and were told the issue would be resolved within 48 hours. Three weeks later nothing has happened. We urge the Commissioner's office to directly intervene.,162,Mobile App,Chennai,True,Photo of restaurant chairs and tables placed on the public pavement.,Footpath near Ullagaram has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Ullagaram, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",English,Urban Planning & Real Estate,Zoning,encroachment,4,False,False,Footpath encroachment pushes pedestrians onto roads creating a safety risk.,0.94,False,False
விரிசல் விட்ட கட்டிடத்தின் படம் இணைத்துள்ளேன்.,147,Voice Hotline,Chennai,True,Photo of an old building with visible cracks running through the exterior walls.,A structurally unsafe and crumbling building near Nandambakkam is at immediate risk of collapse.,An abandoned building in Nandambakkam is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,Tamil,Urban Planning & Real Estate,Construction,unsafe_structure,8,True,False,Imminent collapse of a structure near inhabited areas is a life-threatening emergency.,0.87,False,False
"Dear Sir, I write with great urgency regarding a live electrical wire that fell on Nandambakkam street following last night's heavy rain. I have attached a photo of the wire lying on the road. It has been sparking since 6am. A local resident received a mild electric shock. Despite calling the emergency helpline twice, no crew has arrived. Children from the nearby school pass through this street every morning. I beg for immediate emergency response.",147,Mobile App,Chennai,True,Photo of an overflowing public garbage bin with waste spilling onto the footpath.,Garbage has not been collected from Nandambakkam for several days causing hygiene issues.,Municipal garbage collection has been absent in Nandambakkam for multiple days. Overflowing waste bins and stray animals are creating serious hygiene problems.,English,"Sanitation, Environment & Parks",Garbage,no_collection,5,False,False,Sustained garbage non-collection is a sanitation failure causing health risks.,0.92,False,False
This complaint is on behalf of all residents of Sholinganallur South. For three weeks our drainage system has been completely choked. Every time there is rain the entire street floods with sewage. We have small children and elderly parents. The smell is unbearable. I am attaching a photo of the sewage overflow as evidence. We visited the ward office twice and were told the issue would be resolved within 48 hours. Three weeks later nothing has happened. We urge the Commissioner's office to directly intervene.,169,Mobile App,Chennai,True,Image of broken school benches and desks piled in a corner of a classroom.,The government school building in Sholinganallur South is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Sholinganallur South is in severe disrepair. The conditions are unhygienic and unsafe for children.,English,Social Infrastructure & Public Health,Schools,school_maintenance,6,False,True,Deteriorated school infrastructure directly affects children's safety.,0.9,False,False
வார்டு அலுவலகம் எந்த புகாருக்கும் பதில் அளிக்கவில்லை.,6,WhatsApp,Chennai,False,,Multiple complaints raised by residents of Tiruvottiyur North have received no response from municipal authorities.,Residents of Tiruvottiyur North have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,Tamil,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.91,False,False
अवैध निर्माण की फोटो भेज रहा हूं।,199,Voice Hotline,Chennai,True,Photo of construction happening at night without safety lights or permissions.,An unauthorized building is being constructed in Karapakkam East without required municipal approvals.,Illegal construction has been flagged in Karapakkam East where a building is being built without any approved plan.,Hindi,Urban Planning & Real Estate,Construction,illegal_building,5,False,False,Unauthorized construction violates zoning laws and building regulations.,0.85,False,False
water leakage,190,Mobile App,Chennai,False,,A water supply or leakage issue has been reported.,Illegal open dumping near the park or lake in Kottivakkam South is increasing daily. The practice is creating environmental and health hazards.,English,"Sanitation, Environment & Parks",Garbage,open_dumping,5,False,False,Illegal dumping near parks and water bodies violates environmental norms.,0.77,False,True
pothole very bad,130,Mobile App,Chennai,False,,A road or pothole issue has been reported.,Flash flooding in Arumbakkam has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,English,"Emergency, Safety & Accountability",Emergency,flooding,9,True,False,Flooding submerging homes and electricity infrastructure is a life-threatening emergency.,0.81,False,True
மழை நீர் கால்வாய் குப்பையால் முற்றிலும் அடைந்துவிட்டது.,110,Voice Hotline,Chennai,False,,The storm drain in Teynampet is blocked causing the road to flood during every rainfall.,A clogged storm drain in Teynampet is causing the road to flood during every rain event. The drain has not been cleared in months.,Tamil,Core Infrastructure & Public Works,Drainage/Sewerage,blockage,5,False,False,Drain blockage causing repeated flooding is a core infrastructure maintenance failure.,0.88,False,False
"Transformer sparking near Chromepet, fire hazard for nearby buildings.",159,Web App,Chennai,False,,A live electrical wire is dangling on the road in Chromepet causing sparks and electrocution risk.,A fallen live electrical wire in Chromepet is sparking on the road near a bus stop. A resident has already received a mild electric shock.,English,"Emergency, Safety & Accountability",Emergency,fire_risk,10,True,False,Live electrical wire on a public road is an immediate life-threatening emergency.,0.9,False,False
See attached image of dangerous leaning wall near Sowcarpet school.,57,Web App,Chennai,True,Photo of a dilapidated building with broken windows and falling plaster.,A structurally unsafe and crumbling building near Sowcarpet is at immediate risk of collapse.,An abandoned building in Sowcarpet is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,English,Urban Planning & Real Estate,Construction,unsafe_structure,8,True,False,Imminent collapse of a structure near inhabited areas is a life-threatening emergency.,0.88,False,False
अवैध निर्माण की फोटो भेज रहा हूं।,94,Mobile App,Chennai,True,Photo of a multi-storey building under construction with no approved plan notice visible.,An unauthorized building is being constructed in Anna Nagar without required municipal approvals.,Illegal construction has been flagged in Anna Nagar where a building is being built without any approved plan.,Hindi,Urban Planning & Real Estate,Construction,illegal_building,5,False,False,Unauthorized construction violates zoning laws and building regulations.,0.96,False,False
"No fogging done in our area for months, mosquito problem is bad.",37,Citizen Kiosk,Chennai,False,,Stagnant water near Old Washermenpet is causing a mosquito breeding problem with dengue cases being reported.,Stagnant water accumulation near Old Washermenpet has led to a severe mosquito breeding problem. Dengue cases are being reported.,English,"Sanitation, Environment & Parks",Vector Control,mosquito_breeding,6,False,False,Mosquito breeding in stagnant water causing dengue is a vector control failure.,0.95,False,False
"गंदे पानी की फोटो भेज रहा हूं, पाइपलाइन चेक करें।",5,WhatsApp,Chennai,True,Image of water flowing from a tap with a clearly yellow-brown discolouration.,Contaminated and discoloured water is being supplied through municipal pipes in Ernavoor causing illness.,Residents of Ernavoor are receiving discoloured and foul-smelling water through municipal pipes. Multiple cases of illness have been reported.,Hindi,Core Infrastructure & Public Works,Water Supply,contaminated_water,8,True,False,Contaminated water supply causing illness is a direct public health emergency.,0.92,False,False
The garbage near the government school drain is blocking water flow and children are complaining of bad smell.,142,Web App,Chennai,False,,Garbage near the school in Semmencherry is blocking the drain and causing sewage overflow.,An edge case complaint in Semmencherry involving garbage accumulation near a school that is simultaneously blocking the storm drain and causing sewage overflow. Both sanitation and infrastructure issues are present.,English,"Sanitation, Environment & Parks",Garbage,no_collection,6,False,True,Primary classification is garbage non-collection despite drainage secondary effect.,0.8,True,False
Shop owner in Otteri has extended stall onto the footpath completely.,72,Citizen Kiosk,Chennai,False,,Footpath near Otteri has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Otteri, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",English,Urban Planning & Real Estate,Zoning,encroachment,4,False,False,Footpath encroachment pushes pedestrians onto roads creating a safety risk.,0.95,False,False
"கழிவுநீர் சாலையில் வழிகிறது, நாற்றம் தாங்கவில்லை.",123,Voice Hotline,Chennai,False,,Sewage is overflowing from blocked drains onto the roads and into homes in Pallavaram.,A severe sewage overflow has been reported in Pallavaram due to blocked drains. Sewage water is entering ground floor homes and children are falling ill.,Tamil,Core Infrastructure & Public Works,Drainage/Sewerage,overflow,7,True,False,Sewage overflow entering homes is a health emergency.,0.85,False,False
"Big hole on the road near Maduravoyal junction, already caused two accidents.",144,Web App,Chennai,False,,Large potholes on the road in Maduravoyal are causing accidents and vehicle damage.,"Multiple deep potholes have been reported on the road in Maduravoyal, causing accidents and vehicle damage. Residents have been requesting repairs for over a month with no response.",English,Core Infrastructure & Public Works,Roads,pothole,5,False,False,Pothole on public road causes recurring accidents and is a road maintenance failure.,0.9,False,False
Building collapse risk in Alapakkam compounded by officer demanding payment before doing inspection.,145,Voice Hotline,Chennai,False,,A dangerous structure in Alapakkam poses collapse risk and the responsible official is demanding a bribe before taking action.,An edge case combining structural hazard and corruption in Alapakkam. The structural risk makes this an emergency but the bribery angle adds governance failure.,English,"Emergency, Safety & Accountability",Safety,unsafe_structure,9,True,False,Primary classification is structural hazard despite bribery being a concurrent issue.,0.74,True,False
कचरे की फोटो भेज रहा हूं।,139,WhatsApp,Chennai,True,Photo of an overflowing public garbage bin with waste spilling onto the footpath.,Garbage has not been collected from Pallikaranai for several days causing hygiene issues.,Municipal garbage collection has been absent in Pallikaranai for multiple days. Overflowing waste bins and stray animals are creating serious hygiene problems.,Hindi,"Sanitation, Environment & Parks",Garbage,no_collection,5,False,False,Sustained garbage non-collection is a sanitation failure causing health risks.,0.96,False,False
சாலை மெல்ல மெல்ல கீழிறங்குகிறது.,176,Web App,Chennai,False,,A sewer pipe has collapsed beneath the road in Lattice Bridge causing a sinkhole and road subsidence.,Road subsidence in Lattice Bridge is being caused by a collapsed underground sewer pipe. The area needs immediate emergency repair.,Tamil,Core Infrastructure & Public Works,Drainage/Sewerage,sewer_collapse,9,True,False,Sewer collapse causing road sinkhole is an immediate structural and safety emergency.,0.89,False,False
வண்டிக்கடை நடைபாதையை நிரந்தரமாக தடுக்கிறது.,11,Voice Hotline,Chennai,False,,Footpath near Tiruvottiyur East has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Tiruvottiyur East, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",Tamil,Urban Planning & Real Estate,Zoning,encroachment,4,False,False,Footpath encroachment pushes pedestrians onto roads creating a safety risk.,0.93,False,False
पानी नहीं आ रहा कुछ करो,97,WhatsApp,Chennai,False,,A water supply or leakage issue has been reported.,Ongoing infrastructure work has blocked the main road in Arumbakkam for weeks without providing residents any diversion route.,Hindi,Transportation & Traffic,Roads,road_blockage,5,False,False,Road blockage without diversion disrupts traffic and daily life.,0.8,False,True
நான்கு திசையிலும் வாகனங்கள் ஒரே நேரத்தில் வருகின்றன.,29,Voice Hotline,Chennai,False,,The traffic signal at Madhavaram South junction is malfunctioning causing accidents and chaos.,The traffic signal at the main junction in Madhavaram South has been non-functional for two days. Near-miss accidents are being reported during peak hours.,Tamil,Transportation & Traffic,Traffic Signals,signal_malfunction,7,True,False,Malfunctioning traffic signal at a busy intersection directly causes accidents.,0.92,False,False
Construction debris being dumped illegally near Villivakkam park.,47,WhatsApp,Chennai,False,,Waste is being illegally dumped openly near the park or water body in Villivakkam causing pollution.,Illegal open dumping near the park or lake in Villivakkam is increasing daily. The practice is creating environmental and health hazards.,English,"Sanitation, Environment & Parks",Garbage,open_dumping,5,False,False,Illegal dumping near parks and water bodies violates environmental norms.,0.87,False,False
தொழிற்சாலை வசிப்பிட காலனியில் இயங்குகிறது.,132,WhatsApp,Chennai,False,,Land use violations are occurring near T Nagar with commercial or industrial use in residential zones.,"Unauthorized commercial activities are taking place in the residential zone near T Nagar, causing traffic, noise and pollution.",Tamil,Urban Planning & Real Estate,Zoning,land_use_violation,5,False,False,Land use violation in residential zones creates nuisance and violates planning laws.,0.89,False,False
கோவிலில் இரவு முழுவதும் ஒலிவாங்கி சத்தம் தாங்கவில்லை.,94,Mobile App,Chennai,False,,Excessive noise from functions and construction near Anna Nagar is disturbing residents at night.,Residents of Anna Nagar are being subjected to nighttime noise from function halls and construction. Quality of life is being affected.,Tamil,"Sanitation, Environment & Parks",Environment,noise_pollution,3,False,False,Nighttime noise beyond permissible limits constitutes an environmental nuisance.,0.92,False,False
"Trucks blocking entire road, emergency vehicles cannot get through.",111,Web App,Chennai,False,,Illegal parking near Royapettah is blocking traffic and preventing emergency vehicle access.,Illegal and double parking near Royapettah is blocking a full lane of traffic. Emergency vehicles are unable to pass.,English,Transportation & Traffic,Parking,illegal_parking,4,False,False,Illegal parking blocking emergency vehicle access is a traffic enforcement failure.,0.85,False,False
ஆய்வாளர் கட்டிட திட்டத்தை அனுமதிக்க பணம் கேட்கிறார்.,19,Voice Hotline,Chennai,False,,A municipal official in Mathur is demanding bribes for routine civic approvals and services.,Residents in Mathur have reported a municipal official demanding bribes for basic civic approvals. The official is refusing to process requests without cash payment.,Tamil,"Emergency, Safety & Accountability",Corruption,bribery,7,False,False,Bribery demand from a municipal official is a governance and accountability failure.,0.95,False,False
बंद आंगनवाड़ी की फोटो भेज रहा हूं।,104,Citizen Kiosk,Chennai,True,Image of an anganwadi building with a damaged roof and broken windows.,The anganwadi center in Kilpauk has been non-functional for weeks depriving children of meals.,The anganwadi center in Kilpauk has been closed for three weeks. Young children are being deprived of nutrition and early care services.,Hindi,Social Infrastructure & Public Health,Healthcare,anganwadi_issue,7,False,True,Non-functional anganwadi denies nutrition to the most vulnerable children.,0.96,False,False
The kitchen of the restaurant near Sowcarpet has rats and cockroaches.,57,Web App,Chennai,False,,Unhygienic food is being served near Sowcarpet causing food poisoning with multiple residents hospitalised.,A food poisoning incident in Sowcarpet has led to multiple hospitalisations from a local eatery. Inspection is needed urgently.,English,Social Infrastructure & Public Health,Food Safety,food_safety_risk_flag,8,True,False,Food poisoning causing hospitalisations is a public health emergency.,0.91,False,False
Photo of closed anganwadi centre during operational hours.,25,Citizen Kiosk,Chennai,True,Image of an anganwadi building with a damaged roof and broken windows.,The anganwadi center in Kathirvedu has been non-functional for weeks depriving children of meals.,The anganwadi center in Kathirvedu has been closed for three weeks. Young children are being deprived of nutrition and early care services.,English,Social Infrastructure & Public Health,Healthcare,anganwadi_issue,7,False,True,Non-functional anganwadi denies nutrition to the most vulnerable children.,0.88,False,False
Loud music from a function hall near Chromepet every weekend night.,124,Mobile App,Chennai,False,,Excessive noise from functions and construction near Chromepet is disturbing residents at night.,Residents of Chromepet are being subjected to nighttime noise from function halls and construction. Quality of life is being affected.,English,"Sanitation, Environment & Parks",Environment,noise_pollution,3,False,False,Nighttime noise beyond permissible limits constitutes an environmental nuisance.,0.96,False,False
"बिजली का तार सड़क पर लटक रहा है, चिंगारी निकल रही है।",51,Citizen Kiosk,Chennai,False,,A live electrical wire is dangling on the road in Basin Bridge causing sparks and electrocution risk.,A fallen live electrical wire in Basin Bridge is sparking on the road near a bus stop. A resident has already received a mild electric shock.,Hindi,"Emergency, Safety & Accountability",Emergency,fire_risk,10,True,False,Live electrical wire on a public road is an immediate life-threatening emergency.,0.89,False,False
"ஐந்து மணி நேரம் காத்திருந்தோம், ஒரே ஒரு மருத்துவர்.",11,WhatsApp,Chennai,False,,The government hospital in Tiruvottiyur East is severely understaffed and running out of essential medicines.,The government hospital in Tiruvottiyur East has been operating without adequate doctors and medicines. Patients are waiting for hours.,Tamil,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,8,False,True,Hospital running without doctors and medicines endangers patients.,0.86,False,False
New building under construction has no required safety measures.,77,Mobile App,Chennai,False,,An unauthorized building is being constructed in Peravallur South without required municipal approvals.,Illegal construction has been flagged in Peravallur South where a building is being built without any approved plan.,English,Urban Planning & Real Estate,Construction,illegal_building,5,False,False,Unauthorized construction violates zoning laws and building regulations.,0.87,False,False
The storm drain near Puzhuthivakkam is completely blocked with garbage.,163,Web App,Chennai,False,,The storm drain in Puzhuthivakkam is blocked causing the road to flood during every rainfall.,A clogged storm drain in Puzhuthivakkam is causing the road to flood during every rain event. The drain has not been cleared in months.,English,Core Infrastructure & Public Works,Drainage/Sewerage,blockage,5,False,False,Drain blockage causing repeated flooding is a core infrastructure maintenance failure.,0.96,False,False
மருத்துவமனையில் தண்ணீரும் இல்லை மருத்துவரும் இல்லை.,182,Citizen Kiosk,Chennai,False,,"The government hospital in Madipakkam East has no water supply for three days, affecting patient care.",An edge case where a water supply failure is directly impacting healthcare delivery at the government hospital in Madipakkam East.,Tamil,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,9,True,True,Primary classification is healthcare failure despite water supply being the immediate cause.,0.8,True,False
"School entrance gate broken, stray animals entering campus.",15,WhatsApp,Chennai,False,,The government school building in Manali is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Manali is in severe disrepair. The conditions are unhygienic and unsafe for children.,English,Social Infrastructure & Public Health,Schools,school_maintenance,6,False,True,Deteriorated school infrastructure directly affects children's safety.,0.88,False,False
"அரசு பள்ளி கூரை கசிகிறது, வகுப்புகள் பாதிக்கப்படுகின்றன.",151,Voice Hotline,Chennai,False,,The government school building in Mangadu is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Mangadu is in severe disrepair. The conditions are unhygienic and unsafe for children.,Tamil,Social Infrastructure & Public Health,Schools,school_maintenance,6,False,True,Deteriorated school infrastructure directly affects children's safety.,0.89,False,False
"பேருந்து வழி நிறுத்தப்பட்டுவிட்டது, முன்னறிவிப்பு இல்லை.",52,WhatsApp,Chennai,False,,MTC bus service to Kondithoppu has been suspended or severely reduced without prior notice.,Public bus service to Kondithoppu has been stopped with no advance notice. Commuters are stranded.,Tamil,Transportation & Traffic,Public Transport,transport_disruption,4,False,False,Bus service suspension without notice is a public transport failure.,0.9,False,False
drain overflow everyday,164,Web App,Chennai,False,,A drain or sewage overflow issue has been reported.,Residents of Velachery are receiving discoloured and foul-smelling water through municipal pipes. Multiple cases of illness have been reported.,English,Core Infrastructure & Public Works,Water Supply,contaminated_water,8,True,False,Contaminated water supply causing illness is a direct public health emergency.,0.74,False,True
Ward councillor not responding to calls or messages from Mathur.,19,Web App,Chennai,False,,Multiple complaints raised by residents of Mathur have received no response from municipal authorities.,Residents of Mathur have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,English,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.98,False,False
"Live wire touching tree branch, electrocution risk near Ennore.",3,Voice Hotline,Chennai,False,,A live electrical wire is dangling on the road in Ennore causing sparks and electrocution risk.,A fallen live electrical wire in Ennore is sparking on the road near a bus stop. A resident has already received a mild electric shock.,English,"Emergency, Safety & Accountability",Emergency,fire_risk,10,True,False,Live electrical wire on a public road is an immediate life-threatening emergency.,0.92,False,False
No functioning street lights from Kottivakkam signal to the main road.,170,WhatsApp,Chennai,False,,"Street lights are non-functional in Kottivakkam, leaving the area in complete darkness at night.",Street lighting has been out in Kottivakkam for over two weeks. Residents report safety concerns including theft and women being unable to walk at night.,English,Core Infrastructure & Public Works,Street Lighting,no_lighting,6,True,False,Sustained street lighting failure creates conditions for accidents and crime.,0.93,False,False
கழிவுநீர் தெரு முழுவதும் நாற்றம்,83,Voice Hotline,Chennai,False,,A garbage accumulation or sanitation issue has been reported.,The traffic signal at the main junction in Pattaravakkam has been non-functional for two days. Near-miss accidents are being reported during peak hours.,Tamil,Transportation & Traffic,Traffic Signals,signal_malfunction,7,True,False,Malfunctioning traffic signal at a busy intersection directly causes accidents.,0.73,False,True
"I am a resident of Semmencherry and have been suffering from this problem for over two months now. The road in front of our colony is riddled with potholes, some deep enough to swallow a motorcycle tyre. We have witnessed at least five accidents in the past month alone. I have attached a photo clearly showing the depth of the potholes. Elderly residents and school children are especially vulnerable. I personally submitted a complaint via the mobile app twice and called the helpline once but no field visit happened. I am now escalating this formally and request senior officers to inspect the site.",142,Citizen Kiosk,Chennai,True,Image of concrete slabs visibly crumbling on an old multi-storey structure.,A structurally unsafe and crumbling building near Semmencherry is at immediate risk of collapse.,An abandoned building in Semmencherry is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,English,Urban Planning & Real Estate,Construction,unsafe_structure,8,True,False,Imminent collapse of a structure near inhabited areas is a life-threatening emergency.,0.94,False,False
